Task_3.py :-

$jupyter nbconvert --to script Task_3.ipynb
$python -m cProfile Task_3.py
         2986275 function calls (2952765 primitive calls) in 48.169 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
       12    0.000    0.000    0.000    0.000 __init__.py:1893(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1894(<genexpr>)
        2    0.000    0.000    0.006    0.003 __init__.py:19(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:19(get_projection_class)
        1    0.000    0.000    0.070    0.070 __init__.py:192(<module>)
       35    0.000    0.000    0.001    0.000 __init__.py:1928(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        3    0.000    0.000    0.000    0.000 __init__.py:199(disconnect)
        3    0.000    0.000    0.014    0.005 __init__.py:2(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       90    0.000    0.000    0.000    0.000 __init__.py:203(_gen_eval_kwargs)
     3548    0.006    0.000    0.009    0.000 __init__.py:2045(_setattr_cm)
        1    0.000    0.000    0.000    0.000 __init__.py:2057(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:206(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
       14    0.000    0.000    0.000    0.000 __init__.py:2089(_warn_external)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:211(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2111(_OrderedSet)
        4    0.000    0.000    0.000    0.000 __init__.py:2112(__init__)
      146    0.000    0.000    0.000    0.000 __init__.py:2118(__iter__)
       39    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
      281    0.003    0.000    0.105    0.000 __init__.py:213(process)
        1    0.000    0.000    0.000    0.000 __init__.py:215(<listcomp>)
       12    0.002    0.000    0.052    0.004 __init__.py:2154(_unmultiplied_rgba8888_to_premultiplied_argb32)
       10    0.000    0.000    0.000    0.000 __init__.py:216(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        1    0.000    0.000    0.029    0.029 __init__.py:219(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
       39    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
     1453    0.006    0.000    0.009    0.000 __init__.py:2219(_check_isinstance)
     2906    0.001    0.000    0.001    0.000 __init__.py:2234(<genexpr>)
     1453    0.001    0.000    0.001    0.000 __init__.py:2236(type_name)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
     6123    0.003    0.000    0.004    0.000 __init__.py:2254(_check_in_list)
      567    0.002    0.000    0.003    0.000 __init__.py:2271(_check_shape)
     1701    0.001    0.000    0.001    0.000 __init__.py:2292(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        7    0.000    0.000    0.000    0.000 __init__.py:2310(_check_getitem)
        1    0.000    0.000    0.000    0.000 __init__.py:232(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:2332(_classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:234(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:2349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
  135/134    0.000    0.000    0.001    0.000 __init__.py:235(wrapper)
        3    0.000    0.000    0.000    0.000 __init__.py:2356(_backend_module_name)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
